rep,ID,uid,TIME,y1,IFN_dose,ARMTYPE,IFN
76,1,1_rep76,24,63.0107,100,ifn alpha,.
76,1,1_rep76,0,.,100,ifn alpha,100
76,1,1_rep76,24,.,100,ifn alpha,100
77,1,1_rep77,0,99.6223,100,ifn alpha,.
77,1,1_rep77,24,67.1194,100,ifn alpha,.
77,1,1_rep77,0,.,100,ifn alpha,100
77,1,1_rep77,24,.,100,ifn alpha,100
78,1,1_rep78,0,100.087,100,ifn alpha,.
78,1,1_rep78,24,48.8927,100,ifn alpha,.
78,1,1_rep78,0,.,100,ifn alpha,100
78,1,1_rep78,24,.,100,ifn alpha,100
79,1,1_rep79,0,99.5615,100,ifn alpha,.
79,1,1_rep79,24,71.4853,100,ifn alpha,.
79,1,1_rep79,0,.,100,ifn alpha,100
79,1,1_rep79,24,.,100,ifn alpha,100
80,1,1_rep80,0,100.201,100,ifn alpha,.
80,1,1_rep80,24,76.0458,100,ifn alpha,.
80,1,1_rep80,0,.,100,ifn alpha,100
80,1,1_rep80,24,.,100,ifn alpha,100
81,1,1_rep81,0,100.001,100,ifn alpha,.
81,1,1_rep81,24,63.8221,100,ifn alpha,.
81,1,1_rep81,0,.,100,ifn alpha,100
81,1,1_rep81,24,.,100,ifn alpha,100
82,1,1_rep82,0,99.9446,100,ifn alpha,.
82,1,1_rep82,24,74.301,100,ifn alpha,.
82,1,1_rep82,0,.,100,ifn alpha,100
82,1,1_rep82,24,.,100,ifn alpha,100
83,1,1_rep83,0,100.061,100,ifn alpha,.
83,1,1_rep83,24,76.5181,100,ifn alpha,.
83,1,1_rep83,0,.,100,ifn alpha,100
83,1,1_rep83,24,.,100,ifn alpha,100
84,1,1_rep84,0,100.351,100,ifn alpha,.
84,1,1_rep84,24,66.7265,100,ifn alpha,.
84,1,1_rep84,0,.,100,ifn alpha,100
84,1,1_rep84,24,.,100,ifn alpha,100
85,1,1_rep85,0,99.8446,100,ifn alpha,.
85,1,1_rep85,24,76.821,100,ifn alpha,.
85,1,1_rep85,0,.,100,ifn alpha,100
85,1,1_rep85,24,.,100,ifn alpha,100
86,1,1_rep86,0,99.8392,100,ifn alpha,.
86,1,1_rep86,24,74.3397,100,ifn alpha,.
86,1,1_rep86,0,.,100,ifn alpha,100
86,1,1_rep86,24,.,100,ifn alpha,100
87,1,1_rep87,0,99.9182,100,ifn alpha,.
87,1,1_rep87,24,75.852,100,ifn alpha,.
87,1,1_rep87,0,.,100,ifn alpha,100
87,1,1_rep87,24,.,100,ifn alpha,100
88,1,1_rep88,0,100.04,100,ifn alpha,.
88,1,1_rep88,24,72.4498,100,ifn alpha,.
88,1,1_rep88,0,.,100,ifn alpha,100
88,1,1_rep88,24,.,100,ifn alpha,100
89,1,1_rep89,0,100.207,100,ifn alpha,.
89,1,1_rep89,24,70.137,100,ifn alpha,.
89,1,1_rep89,0,.,100,ifn alpha,100
89,1,1_rep89,24,.,100,ifn alpha,100
90,1,1_rep90,0,99.6147,100,ifn alpha,.
90,1,1_rep90,24,81.7119,100,ifn alpha,.
90,1,1_rep90,0,.,100,ifn alpha,100
90,1,1_rep90,24,.,100,ifn alpha,100
91,1,1_rep91,0,99.7474,100,ifn alpha,.
91,1,1_rep91,24,66.7918,100,ifn alpha,.
