scenario_number,model,data,theta,RUV,RE,OCC,COVS
39,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Cl, ka, Vp",
40,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Cl, ka, Q",
41,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Vd, ka, Vp",
42,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Vd, ka, Q",
43,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"ka, Vp, Q",
44,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Cl, Vd, ka, Vp",
45,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Cl, Vd, ka, Q",
46,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Cl, ka, Vp, Q",
47,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Vd, ka, Vp, Q",
48,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_combined1,ka,"Cl, Vd, ka, Vp, Q",
